name,amenity,shop,tourism,osm_id,osm_type,geometry,opening_hours,reviews,rating,business_type,open_time,close_time,duration_hours
Lion's,nightclub,,,11929082170,nodes,POINT (-5.2629862 6.8120074),23:00-03:00,83,4.1,nightclub,23:00:00,03:00:00,4.0
Maternité de Kotiakoffikro,clinic,,,5250512646,nodes,POINT (-5.0303851 7.7345418),11:00-19:00,189,2.1,clinic,11:00:00,19:00:00,8.0
Maternité de Sokoura,doctors,,,5250615822,nodes,POINT (-5.0211704 7.6970239),10:00-19:00,181,4.1,doctors,10:00:00,19:00:00,9.0
Unknown,parking,,,9256275260,nodes,POINT (-5.9230164 6.6138746),00:00-23:59,107,3.1,parking,00:00:00,23:59:00,23.983333333333334
BNI,bank,,,11181850391,nodes,POINT (-7.6817506 8.2859642),09:00-16:00,136,3.2,bank,09:00:00,16:00:00,7.0
Nsia,bank,,,4957320649,nodes,POINT (-3.976647 5.3512601),09:00-14:00,359,2.5,bank,09:00:00,14:00:00,5.0
Garbadrôme M’Pouto,restaurant,,,6128454787,nodes,POINT (-3.9556743 5.3251516),11:00-21:00,479,1.7,restaurant,11:00:00,21:00:00,10.0
Maquis La Verdure,bar,,,4431035197,nodes,POINT (-5.0245193 7.6710456),17:00-01:00,36,4.1,bar,17:00:00,01:00:00,8.0
Petit Marché de Belleville 1,marketplace,,,5557336516,nodes,POINT (-5.004251 7.7073064),07:00-16:00,325,1.7,marketplace,07:00:00,16:00:00,9.0
Unknown,fuel,,,8345252922,nodes,POINT (-6.472397 9.5259605),00:00-23:59,273,4.3,fuel,00:00:00,23:59:00,23.983333333333334
TotalEnergies,fuel,,,2459639206,nodes,POINT (-3.9787786 5.3528278),00:00-23:59,373,3.0,fuel,00:00:00,23:59:00,23.983333333333334
Ecobank,bank,,,5588701516,nodes,POINT (-2.7788483 5.2897858),09:00-14:00,125,4.6,bank,09:00:00,14:00:00,5.0
Bolikro Campement Radar,restaurant,,,11919654969,nodes,POINT (-5.3032338 6.8567751),12:00-23:00,236,1.7,restaurant,12:00:00,23:00:00,11.0
H-Kyara,bar,,,4951778626,nodes,POINT (-3.9548817 5.3512839),20:00-01:00,194,2.9,bar,20:00:00,01:00:00,5.0
Le Savanna,restaurant,,,11138755022,nodes,POINT (-5.6386564 9.448793),11:00-23:00,138,4.4,restaurant,11:00:00,23:00:00,12.0
Allons à Gagnoa,bar,,,6245430285,nodes,POINT (-5.9380968 6.1160346),21:00-03:00,352,2.5,bar,21:00:00,03:00:00,6.0
Maquis,pub,,,5964153380,nodes,POINT (-4.0605177 5.4547374),17:00-00:00,112,2.8,pub,17:00:00,00:00:00,7.0
Banque Centrale des Etats de l'Afrique de l'Ouest - Agence Auxiliaire de Daloa,bank,,,4302127892,nodes,POINT (-6.4548929 6.8865143),07:30-16:30,350,2.8,bank,07:30:00,16:30:00,9.0
Garbadrome,restaurant,,,6105209950,nodes,POINT (-4.0253754 5.3414595),12:00-22:00,397,3.4,restaurant,12:00:00,22:00:00,10.0
Unknown,pub,,,6105209951,nodes,POINT (-4.0246389 5.3415137),19:00-01:00,28,1.2,pub,19:00:00,01:00:00,6.0
Unknown,cafe,,,6105214287,nodes,POINT (-4.0250312 5.3410241),08:00-20:00,117,4.9,cafe,08:00:00,20:00:00,12.0
Centre de santé rural de Zebizekou,clinic,,,11563886704,nodes,POINT (-5.9422659 6.3517634),11:00-18:00,33,3.9,clinic,11:00:00,18:00:00,7.0
Petroci Route de Bouaké,fuel,,,4023792475,nodes,POINT (-5.2934346 6.8328077),00:00-23:59,290,3.1,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,restaurant,,,5893099544,nodes,POINT (-6.5839756 5.7888834),12:00-22:00,367,3.3,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5887990419,nodes,POINT (-6.6060314 5.7824135),12:00-21:00,161,4.4,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5887990423,nodes,POINT (-6.6061973 5.7828985),10:00-22:00,108,2.6,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5887990998,nodes,POINT (-6.6040324 5.7795975),10:00-23:00,255,4.7,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5890748685,nodes,POINT (-6.5890476 5.7915212),12:00-21:00,329,1.1,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5890748717,nodes,POINT (-6.585027 5.7920002),10:00-21:00,234,1.3,restaurant,10:00:00,21:00:00,11.0
Unknown,car_wash,,,5890748733,nodes,POINT (-6.5845569 5.7911603),08:00-18:00,73,5.0,car_wash,08:00:00,18:00:00,10.0
Unknown,restaurant,,,5890748734,nodes,POINT (-6.5850639 5.7905833),10:00-21:00,135,4.4,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5890748780,nodes,POINT (-6.5968924 5.7893544),11:00-23:00,381,2.5,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5890748782,nodes,POINT (-6.5971646 5.7893177),10:00-21:00,287,2.2,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5890748790,nodes,POINT (-6.5971418 5.7889301),11:00-22:00,275,1.1,restaurant,11:00:00,22:00:00,11.0
Unknown,restaurant,,,5890748825,nodes,POINT (-6.5962279 5.7855277),12:00-22:00,299,1.9,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891258085,nodes,POINT (-6.5923427 5.7893751),10:00-23:00,185,4.0,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5891503457,nodes,POINT (-6.5939876 5.7876746),11:00-23:00,70,4.2,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5891503725,nodes,POINT (-6.5947413 5.7863737),11:00-23:00,260,2.6,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5891520514,nodes,POINT (-6.5884857 5.7918208),10:00-22:00,252,1.6,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5891628933,nodes,POINT (-6.5909121 5.787391),12:00-21:00,46,4.6,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5891679738,nodes,POINT (-6.5844402 5.7857892),10:00-23:00,24,2.0,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5891679739,nodes,POINT (-6.5843598 5.7858433),12:00-23:00,440,2.6,restaurant,12:00:00,23:00:00,11.0
Unknown,restaurant,,,5891679740,nodes,POINT (-6.5844288 5.7859907),11:00-23:00,56,3.9,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5891679745,nodes,POINT (-6.5843946 5.7861728),11:00-22:00,78,2.5,restaurant,11:00:00,22:00:00,11.0
Unknown,restaurant,,,5891679748,nodes,POINT (-6.5843799 5.7865998),10:00-23:00,321,1.8,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5891715585,nodes,POINT (-6.5851696 5.7921042),11:00-22:00,405,4.8,restaurant,11:00:00,22:00:00,11.0
Alphonse Auto-école,driving_school,,,4323564690,nodes,POINT (-5.2742172 6.8245888),11:00-15:00,216,1.6,driving_school,11:00:00,15:00:00,4.0
Unknown,car_wash,,,5887285789,nodes,POINT (-6.6106045 5.7861268),08:00-17:00,32,1.4,car_wash,08:00:00,17:00:00,9.0
Unknown,restaurant,,,5887350100,nodes,POINT (-6.5906744 5.7712588),12:00-23:00,197,2.5,restaurant,12:00:00,23:00:00,11.0
Unknown,restaurant,,,5887618485,nodes,POINT (-6.5928356 5.7781738),10:00-21:00,195,2.4,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5887792193,nodes,POINT (-6.6070969 5.7838212),10:00-22:00,305,4.6,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5887792194,nodes,POINT (-6.6071257 5.7840133),12:00-22:00,239,4.5,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5887989943,nodes,POINT (-6.6024047 5.7833485),11:00-22:00,270,4.5,restaurant,11:00:00,22:00:00,11.0
Unknown,restaurant,,,5887990418,nodes,POINT (-6.6064411 5.7819799),12:00-22:00,283,4.3,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5887991029,nodes,POINT (-6.6048633 5.778863),10:00-23:00,440,3.2,restaurant,10:00:00,23:00:00,13.0
Unknown,car_wash,,,5887991307,nodes,POINT (-6.6105636 5.7861028),09:00-17:00,5,4.9,car_wash,09:00:00,17:00:00,8.0
Unknown,car_wash,,,5887991308,nodes,POINT (-6.6094659 5.7826063),08:00-19:00,348,4.4,car_wash,08:00:00,19:00:00,11.0
Unknown,restaurant,,,5887991314,nodes,POINT (-6.6097489 5.7839479),12:00-22:00,369,1.3,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5887991332,nodes,POINT (-6.610577 5.7858686),11:00-21:00,58,2.3,restaurant,11:00:00,21:00:00,10.0
Unknown,restaurant,,,5887991350,nodes,POINT (-6.611176 5.7873395),10:00-21:00,349,2.2,restaurant,10:00:00,21:00:00,11.0
Unknown,car_wash,,,5890726490,nodes,POINT (-6.5931031 5.7721101),09:00-18:00,453,3.0,car_wash,09:00:00,18:00:00,9.0
Unknown,restaurant,,,5890748770,nodes,POINT (-6.5966289 5.789691),10:00-23:00,274,1.0,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5890748802,nodes,POINT (-6.5964559 5.7877113),10:00-23:00,384,1.4,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5890748819,nodes,POINT (-6.5956572 5.7856758),11:00-21:00,393,3.2,restaurant,11:00:00,21:00:00,10.0
Unknown,car_wash,,,5891123899,nodes,POINT (-6.5945743 5.7786762),08:00-18:00,174,3.0,car_wash,08:00:00,18:00:00,10.0
Unknown,restaurant,,,5891140275,nodes,POINT (-6.595041 5.7808104),11:00-21:00,150,2.5,restaurant,11:00:00,21:00:00,10.0
Unknown,restaurant,,,5891184065,nodes,POINT (-6.579861 5.7839506),11:00-21:00,222,2.8,restaurant,11:00:00,21:00:00,10.0
Unknown,restaurant,,,5891629188,nodes,POINT (-6.5972413 5.7892783),12:00-23:00,80,2.3,restaurant,12:00:00,23:00:00,11.0
Unknown,restaurant,,,5891629198,nodes,POINT (-6.5950085 5.7843792),10:00-21:00,232,3.5,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5891629228,nodes,POINT (-6.5959179 5.7842198),11:00-21:00,1,2.4,restaurant,11:00:00,21:00:00,10.0
Unknown,restaurant,,,5891679736,nodes,POINT (-6.5846334 5.7855951),11:00-23:00,488,2.3,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5891679737,nodes,POINT (-6.5844476 5.7857459),10:00-21:00,369,2.5,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5891715626,nodes,POINT (-6.5861978 5.7858012),12:00-21:00,368,3.3,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5891727481,nodes,POINT (-6.5874926 5.7860388),12:00-22:00,134,4.5,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891850525,nodes,POINT (-6.5879647 5.7847225),12:00-22:00,497,4.0,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891850526,nodes,POINT (-6.588023 5.7847185),12:00-22:00,256,2.7,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891850527,nodes,POINT (-6.5880404 5.7847192),11:00-22:00,390,3.1,restaurant,11:00:00,22:00:00,11.0
Unknown,restaurant,,,5891850528,nodes,POINT (-6.5880599 5.7847192),10:00-23:00,91,3.7,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5892660150,nodes,POINT (-6.581113 5.7962205),10:00-22:00,54,3.0,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5892708289,nodes,POINT (-6.5827961 5.7933905),10:00-21:00,259,3.9,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5892750526,nodes,POINT (-6.60464 5.7883807),11:00-21:00,78,4.0,restaurant,11:00:00,21:00:00,10.0
Unknown,car_wash,,,5892750528,nodes,POINT (-6.6057551 5.7882476),08:00-18:00,191,1.8,car_wash,08:00:00,18:00:00,10.0
Unknown,restaurant,,,5891715636,nodes,POINT (-6.5862286 5.7851668),12:00-22:00,82,2.1,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891715645,nodes,POINT (-6.5861401 5.7854337),12:00-22:00,276,1.9,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5891881757,nodes,POINT (-6.5870708 5.7875385),11:00-23:00,488,1.2,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5891925912,nodes,POINT (-6.5957444 5.7929542),12:00-21:00,398,1.0,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5892471368,nodes,POINT (-6.5952851 5.7938815),11:00-23:00,472,1.5,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5892475754,nodes,POINT (-6.5959784 5.8020218),10:00-23:00,271,2.7,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5892763963,nodes,POINT (-6.586297 5.7857612),11:00-21:00,470,1.8,restaurant,11:00:00,21:00:00,10.0
Unknown,restaurant,,,5892766349,nodes,POINT (-6.5930159 5.7991138),11:00-23:00,0,4.2,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5892772295,nodes,POINT (-6.6014817 5.7888441),12:00-21:00,250,3.3,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5892974330,nodes,POINT (-6.5929402 5.7974927),12:00-22:00,185,1.7,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5893262669,nodes,POINT (-6.5846743 5.7846191),10:00-22:00,449,1.1,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5893262785,nodes,POINT (-6.5826988 5.7835136),12:00-22:00,425,3.9,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5894161691,nodes,POINT (-6.6104758 5.7896693),12:00-22:00,122,4.7,restaurant,12:00:00,22:00:00,10.0
Unknown,restaurant,,,5894161692,nodes,POINT (-6.6105227 5.7895439),12:00-21:00,29,1.7,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5894161693,nodes,POINT (-6.6105469 5.7894505),12:00-21:00,123,3.7,restaurant,12:00:00,21:00:00,9.0
Unknown,restaurant,,,5894161694,nodes,POINT (-6.6108432 5.7890168),12:00-23:00,449,1.5,restaurant,12:00:00,23:00:00,11.0
Unknown,car_wash,,,5894161695,nodes,POINT (-6.6109452 5.7888367),09:00-17:00,290,3.7,car_wash,09:00:00,17:00:00,8.0
Unknown,car_wash,,,5894251893,nodes,POINT (-6.5956284 5.7952985),09:00-17:00,43,3.9,car_wash,09:00:00,17:00:00,8.0
Unknown,car_wash,,,5894251903,nodes,POINT (-6.5958872 5.7971718),09:00-19:00,374,2.5,car_wash,09:00:00,19:00:00,10.0
Unknown,car_wash,,,5894291702,nodes,POINT (-6.596354 5.8049224),09:00-19:00,248,2.9,car_wash,09:00:00,19:00:00,10.0
Unknown,restaurant,,,5893055725,nodes,POINT (-6.5885299 5.7989193),10:00-22:00,35,3.3,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5893071735,nodes,POINT (-6.5828705 5.7836097),10:00-23:00,500,3.2,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5893211910,nodes,POINT (-6.5837637 5.7900322),10:00-22:00,392,3.5,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5893262661,nodes,POINT (-6.5844456 5.7858626),11:00-23:00,64,2.3,restaurant,11:00:00,23:00:00,12.0
Unknown,restaurant,,,5893262664,nodes,POINT (-6.5840963 5.7869814),10:00-23:00,65,1.6,restaurant,10:00:00,23:00:00,13.0
Unknown,restaurant,,,5893262665,nodes,POINT (-6.5843216 5.7862629),10:00-22:00,337,3.7,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5894161706,nodes,POINT (-6.6074087 5.7880281),10:00-21:00,243,3.9,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5894212251,nodes,POINT (-6.6111973 5.7897293),12:00-23:00,281,2.1,restaurant,12:00:00,23:00:00,11.0
Unknown,restaurant,,,5894487527,nodes,POINT (-6.5942779 5.7753151),10:00-22:00,135,4.6,restaurant,10:00:00,22:00:00,12.0
Unknown,restaurant,,,5894780623,nodes,POINT (-6.5966808 5.7839029),11:00-22:00,270,1.9,restaurant,11:00:00,22:00:00,11.0
Unknown,restaurant,,,5891123906,nodes,POINT (-6.5948144 5.7795014),10:00-21:00,446,1.1,restaurant,10:00:00,21:00:00,11.0
Unknown,car_wash,,,5894310642,nodes,POINT (-6.5947285 5.7789337),08:00-18:00,310,2.9,car_wash,08:00:00,18:00:00,10.0
Shell,fuel,,,11918718039,nodes,POINT (-5.4959422 6.9222933),00:00-23:59,216,2.3,fuel,00:00:00,23:59:00,23.983333333333334
Unknown,restaurant,,,5894780612,nodes,POINT (-6.5957712 5.7830807),10:00-21:00,108,3.0,restaurant,10:00:00,21:00:00,11.0
Unknown,restaurant,,,5894941126,nodes,POINT (-6.5915494 5.7825123),12:00-22:00,475,3.9,restaurant,12:00:00,22:00:00,10.0
Unknown,car_wash,,,5890748765,nodes,POINT (-6.5963841 5.790145),08:00-17:00,353,4.5,car_wash,08:00:00,17:00:00,9.0
Unknown,restaurant,,,5890748766,nodes,POINT (-6.5964291 5.7899568),11:00-21:00,102,1.4,restaurant,11:00:00,21:00:00,10.0
