name,amenity,shop,tourism,osm_id,osm_type,geometry,reviews,rating
Maquis Espace,pub,None,None,6190333370,nodes,POINT (-6.4792125 9.5197256),445,4.3
Poste,post_office,None,None,6190333380,nodes,POINT (-6.4810351 9.5199399),394,2.1
Eglise Catholique Boundiali,place_of_worship,None,None,6190333404,nodes,POINT (-6.4835201 9.5197243),359,1.6
Ecole Maternelle Publique,school,None,None,6190333405,nodes,POINT (-6.4840029 9.5197997),312,3.7
Djetiguila,pub,None,None,6190333466,nodes,POINT (-6.4853816 9.5213591),30,3.8
Tchapalo Doté,pub,None,None,6190333476,nodes,POINT (-6.4857906 9.5190405),425,4.1
Terminus,pub,None,None,6190333514,nodes,POINT (-6.4872806 9.5187032),459,2.7
Cabaret,pub,None,None,6190333539,nodes,POINT (-6.4882904 9.5191391),95,4.9
Foursquare,place_of_worship,None,None,6190333544,nodes,POINT (-6.4845454 9.5180479),178,3.8
Maquis Ecran Bleu,pub,None,None,6190333554,nodes,POINT (-6.4846299 9.5169481),122,4.7
NSIA Banque,bank,None,None,3931422901,nodes,POINT (-4.0594763 5.3238685),484,1.0
Restaurant,restaurant,None,None,3931422905,nodes,POINT (-4.0586354 5.3236494),496,1.9
Maquis Resto les Délices de Delphine,pub,None,None,11934906169,nodes,POINT (-4.1855563 5.3591298),444,2.1
Restaurant,restaurant,None,None,3930702864,nodes,POINT (-4.0540374 5.3223028),146,1.6
Station Corlay,fuel,None,None,3929740809,nodes,POINT (-3.7406877 5.2084034),387,4.8
Section de Tribunal de Grand-Bassam,courthouse,None,None,3918765847,nodes,POINT (-3.7376399 5.1956225),292,4.2
Neverland,events_venue,None,None,11933847970,nodes,POINT (-5.9502582 6.165696),484,2.4
Gare utb,bus_station,None,None,7101374029,nodes,POINT (-6.5855789 6.4824308),227,1.1
Mtn Mobile Money,bureau_de_change,None,None,3936421048,nodes,POINT (-4.0525367 5.322125),426,2.4
Mtn Mobile Money,bureau_de_change,None,None,3936423732,nodes,POINT (-4.0536631 5.3220384),292,4.8
Orange Money,bureau_de_change,None,None,3936423733,nodes,POINT (-4.0536134 5.32204),225,4.3
Flooz,bureau_de_change,None,None,3936423730,nodes,POINT (-4.053363 5.3220547),309,1.9
Tranfert d'Argent,bureau_de_change,None,None,3930877770,nodes,POINT (-4.0563896 5.3234357),170,3.1
La Source du Guemon,restaurant,None,None,3930877760,nodes,POINT (-4.0566062 5.3234507),22,3.0
Cour d'appel,courthouse,None,None,11724901028,nodes,POINT (-6.4221912 6.8948632),395,4.0
Hôtel de ville,community_centre,None,None,9407868267,nodes,POINT (-5.9430934 6.1311397),166,3.5
Mondial Beach,food_court,None,None,3916609200,nodes,POINT (-3.7571684 5.1981848),369,1.4
Total Station,fuel,None,None,6178203185,nodes,POINT (-6.0487889 7.4329189),421,4.5
Mosquée Farouk,place_of_worship,None,None,7057594986,nodes,POINT (-4.080612 5.3494995),211,1.9
Station Service First Pétroleum,fuel,None,None,4046073279,nodes,POINT (-4.1051261 5.3282219),78,1.8
Fuel station,fuel,None,None,6173435985,nodes,POINT (-7.3232882 9.544719),382,2.9
Station Service Corlay,fuel,None,None,4046808829,nodes,POINT (-4.0914569 5.3267987),61,1.4
Dispensaire Urbain de Dioulakro,clinic,None,None,7722307385,nodes,POINT (-3.4973745 6.7259274),432,4.5
Petit séminaire de Bingervile,college,None,None,6153163279,nodes,POINT (-3.8850376 5.3571018),381,4.7
Banque d'Abidjan,bank,None,None,6153169729,nodes,POINT (-3.8892192 5.3573481),113,4.3
Pharmacie Bethy,pharmacy,None,None,11932843067,nodes,POINT (-4.765427 5.8666972),34,1.9
Moekoua,restaurant,None,None,6153169730,nodes,POINT (-3.888566 5.3574443),363,2.0
Cave vip,pub,None,None,6154456975,nodes,POINT (-6.4396385 6.8918696),334,3.4
After work,restaurant,None,None,6154457225,nodes,POINT (-6.440901 6.8957704),444,1.0
Saint Leon le grand,place_of_worship,None,None,9830880033,nodes,POINT (-4.5734174 5.2209216),287,1.6
Chez Aline,restaurant,None,None,8382136002,nodes,POINT (-5.2733441 6.8277669),365,4.5
Collège moderne Marie Blanche,school,None,None,5307294323,nodes,POINT (-4.0055338 5.4413724),349,3.1
Foyer des jeunes de Bingerville,community_centre,None,None,6153167334,nodes,POINT (-3.88847 5.3581712),341,2.1
HEC Abidjan Campus San-Pedro,university,None,None,9044292151,nodes,POINT (-6.6272418 4.7337665),475,3.7
Corlay,fuel,None,None,3840345780,nodes,POINT (-3.4901405 6.7297126),373,3.7
Petroci,fuel,None,None,4001022026,nodes,POINT (-3.5050593 6.7415693),180,4.9
École primaire l'acajou,school,None,None,4971200021,nodes,POINT (-4.0625297 5.3308452),143,4.2
Maquis Espace Gbeke,restaurant,None,None,8381801317,nodes,POINT (-5.0264428 7.6789745),76,1.9
Garbadrome,restaurant,None,None,3862899461,nodes,POINT (-4.0141944 5.423619),126,1.3
EPV la Réussite,school,None,None,3860909296,nodes,POINT (-4.0137152 5.4217977),95,1.7
Total Energies,fuel,None,None,3840310625,nodes,POINT (-3.4894273 6.7299936),131,3.0
Afriqoil,fuel,None,None,6466420561,nodes,POINT (-3.5055722 6.7424753),175,3.9
Maternité Privée Liberté,doctors,None,None,5250615829,nodes,POINT (-5.0266904 7.7047361),5,2.1
Maternité Notre-Dame de la Visitation,doctors,None,None,5552256548,nodes,POINT (-5.0475264 7.6754606),100,1.7
Maternité Privée Touré,clinic,None,None,6621036046,nodes,POINT (-4.9927638 7.7141427),413,3.5
Western Union,money_transfer,None,None,5961173807,nodes,POINT (-4.0355618 5.4328116),350,4.3
Maquis Formule 1,pub,None,None,11926964369,nodes,POINT (-5.2598458 6.8123294),447,3.6
Centre International d'Évangélisation Mission Intérieure Africaine,place_of_worship,None,None,5568729208,nodes,POINT (-5.0229192 7.687181),445,2.9
Restaurant Oasis sous Bois,restaurant,None,None,11195624095,nodes,POINT (-4.0597036 5.5182027),314,2.5
NSIA,bank,None,None,11195624134,nodes,POINT (-4.0510746 5.4981763),336,4.8
Maquis Restau chez Suzy,restaurant,None,None,11921737896,nodes,POINT (-4.0930727 5.3148064),183,2.6
Lion's,nightclub,None,None,11929082170,nodes,POINT (-5.2629862 6.8120074),274,2.3
Maternité de Kotiakoffikro,clinic,None,None,5250512646,nodes,POINT (-5.0303851 7.7345418),20,3.9
Maternité de Sokoura,doctors,None,None,5250615822,nodes,POINT (-5.0211704 7.6970239),304,3.4
Boyaokro Point d'Eau,water_point,None,None,7942938886,nodes,POINT (-5.7124827 7.607475),75,1.8
BNI,bank,None,None,11181850391,nodes,POINT (-7.6817506 8.2859642),279,1.7
Nsia,bank,None,None,4957320649,nodes,POINT (-3.976647 5.3512601),43,2.0
Garbadrôme M’Pouto,restaurant,None,None,6128454787,nodes,POINT (-3.9556743 5.3251516),104,1.5
EPP Groupe Nord,school,None,None,3860550674,nodes,POINT (-4.0120897 5.4245233),251,2.5
École Supérieure de Commerce Castaing,college,None,None,4404306512,nodes,POINT (-4.0113891 5.3200755),329,3.6
Maquis La Verdure,bar,None,None,4431035197,nodes,POINT (-5.0245193 7.6710456),179,1.0
Christianisme Céleste,place_of_worship,None,None,5568720263,nodes,POINT (-5.0336011 7.663401),278,3.4
Petit Marché de Belleville 1,marketplace,None,None,5557336516,nodes,POINT (-5.004251 7.7073064),276,4.0
MOSQUEE DE KOUAN HOULE,place_of_worship,None,None,8350063217,nodes,POINT (-8.2628917 7.3924057),60,3.0
TotalEnergies,fuel,None,None,2459639206,nodes,POINT (-3.9787786 5.3528278),63,3.1
Ecobank,bank,None,None,5588701516,nodes,POINT (-2.7788483 5.2897858),368,2.5
Amis du Christ,place_of_worship,None,None,6640404587,nodes,POINT (-5.058824 7.6637562),59,4.6
Bolikro Campement Radar,restaurant,None,None,11919654969,nodes,POINT (-5.3032338 6.8567751),38,3.1
H-Kyara,bar,None,None,4951778626,nodes,POINT (-3.9548817 5.3512839),483,4.3
Le Savanna,restaurant,None,None,11138755022,nodes,POINT (-5.6386564 9.448793),401,3.3
Groupe Escoget,school,None,None,6118608886,nodes,POINT (-3.9541999 5.3774065),328,1.4
Brigade d'Aboisso,police,None,None,4940322221,nodes,POINT (-3.2116342 5.4643912),383,4.4
Allons à Gagnoa,bar,None,None,6245430285,nodes,POINT (-5.9380968 6.1160346),289,2.5
Paroisse Cité des Élus de Belleville 2,place_of_worship,None,None,5561993397,nodes,POINT (-4.9951905 7.724959),167,2.5
Maquis,pub,None,None,5964153380,nodes,POINT (-4.0605177 5.4547374),469,2.1
Banque Centrale des Etats de l'Afrique de l'Ouest - Agence Auxiliaire de Daloa,bank,None,None,4302127892,nodes,POINT (-6.4548929 6.8865143),222,1.7
EPP Sokouraba,school,None,None,8341862508,nodes,POINT (-7.0005494 9.5766418),347,3.5
Garbadrome,restaurant,None,None,6105209950,nodes,POINT (-4.0253754 5.3414595),454,2.3
Prison Civile,prison,None,None,3840337964,nodes,POINT (-3.4848938 6.731893),318,2.1
Eglise Évangélique la Grâce,place_of_worship,None,None,10729497959,nodes,POINT (-4.0788186 5.3350087),443,4.0
EPP Obodjikro 4,school,None,None,8331286159,nodes,POINT (-4.2086731 5.9265194),442,3.0
Mission internationale de la parole de Dieu,place_of_worship,None,None,9798116468,nodes,POINT (-5.9362695 6.1145922),109,3.2
Mosquée L'Abondance,place_of_worship,None,None,5556817203,nodes,POINT (-5.0669771 7.6729174),53,1.5
École Supérieure des Technologies Avancées et de Management,school,None,None,8331070208,nodes,POINT (-4.2091816 5.93711),448,4.7
Centre de santé rural de Zebizekou,clinic,None,None,11563886704,nodes,POINT (-5.9422659 6.3517634),19,4.5
Église Évangélique Baptiste Missionnaire La Grâce d'Adje-Yaokro,place_of_worship,None,None,5568589712,nodes,POINT (-5.0834003 7.6801437),310,4.7
Collège Henri Cartan,school,None,None,6085774613,nodes,POINT (-3.9291145 5.3691539),237,4.7
Petroci Route de Bouaké,fuel,None,None,4023792475,nodes,POINT (-5.2934346 6.8328077),198,2.3
Collège Privé Dieudonné,school,None,None,11764296908,nodes,POINT (-5.2962751 6.8214509),265,1.1
Grouoe scolaire Albert Ley,school,None,None,6085778079,nodes,POINT (-3.9294464 5.3694066),384,2.8
Alphonse Auto-école,driving_school,None,None,4323564690,nodes,POINT (-5.2742172 6.8245888),141,3.6
Morgue de Soubré,mortuary,None,None,5313327824,nodes,POINT (-6.6019156 5.7856853),192,4.7
College Excellences,school,None,None,5894143027,nodes,POINT (-6.5983012 5.8013707),472,2.3
Collège les Neo-Polyse,school,None,None,5894780601,nodes,POINT (-6.5953428 5.7820746),63,3.9
Shell,fuel,None,None,11918718039,nodes,POINT (-5.4959422 6.9222933),390,4.3
Mission Protestante Baptiste,place_of_worship,None,None,5568589711,nodes,POINT (-5.0791222 7.6743156),68,5.0
Shell,fuel,None,None,10605173708,nodes,POINT (-5.3008599 6.8278955),432,2.6
Ola Energy,fuel,None,None,8455777127,nodes,POINT (-4.3587458 6.470346),459,1.0
La BASE,restaurant,None,None,10722540705,nodes,POINT (-3.2029634 7.1205702),412,4.2
Chez Christine Choco,pub,None,None,9007792460,nodes,POINT (-4.7053373 6.6453268),142,1.4
Ô Delices,ice_cream,None,None,9787853447,nodes,POINT (-3.9821109 5.29303),173,3.2
Orange Money,bank,None,None,3806597642,nodes,POINT (-5.02862 7.6813016),334,3.0
Maquis resto Le couloir,restaurant,None,None,5003260321,nodes,POINT (-4.0060301 5.4180468),308,2.8
ART Luxury Bus,bus_station,None,None,11916870834,nodes,POINT (-4.0175736 5.3481998),224,4.0
Hôpital Général de Sinematiali,hospital,None,None,11009260588,nodes,POINT (-5.3842841 9.5868299),374,5.0
BNI - Agence Commerce,bank,None,None,2544677714,nodes,POINT (-5.0289377 7.6824556),45,3.2
Mairie Agnibilekrou,townhall,None,None,10698401605,nodes,POINT (-3.2033172 7.1386173),403,4.0
Sainte Thérèse d’Avila,place_of_worship,None,None,6796678848,nodes,POINT (-4.07476 5.386336),291,3.4
225 Petroleum,fuel,None,None,12209963509,nodes,POINT (-7.7363744 7.639451),325,2.2
cercle sportif N’Kredji restaurant pizzeria chez François,restaurant,None,None,6043623985,nodes,POINT (-3.8859252 5.3620094),273,4.4
Ô PAYS,restaurant,None,None,5460510521,nodes,POINT (-3.7263198 5.2210785),353,2.3
Banque de l'Habitat de Côte d'Ivoire - Agence Marché de Treichville,bank,None,None,4123324490,nodes,POINT (-4.0142262 5.3088425),136,4.1
Port Autonome d'Abidjan,public_building,None,None,3418063505,nodes,POINT (-4.0230635 5.3042775),352,1.4
Chez Georges,restaurant,None,None,2082702549,nodes,POINT (-4.0118094 5.3196957),440,2.2
Total Énergies,fuel,None,None,12278490501,nodes,POINT (-7.5522109 7.4082604),421,1.6
Bank of Africa,bank,None,None,4003054359,nodes,POINT (-3.9972239 5.3650527),284,4.5
Collège Sainte Rita,college,None,None,9772726236,nodes,POINT (-3.5970914 5.2772075),427,2.2
Paroisse St Pierre Claver,place_of_worship,None,None,9772726237,nodes,POINT (-3.5991446 5.2763569),298,3.0
Marché Poissons (Port de Pêche),marketplace,None,None,5089205737,nodes,POINT (-4.0096423 5.2876898),473,2.2
IEP Treichville,government,None,None,6321520685,nodes,POINT (-4.0004947 5.3079912),79,5.0
Centre Medico social de la Pyramide,doctors,None,None,6625224577,nodes,POINT (-4.015291 5.3219818),327,4.3
Centre Médico-social sainte Thérèse de l'enfant Jésus,doctors,None,None,6629437251,nodes,POINT (-3.9485198 5.3099703),474,1.8
Centre Médico Social,doctors,None,None,2760759391,nodes,POINT (-3.9477124 5.3101063),223,1.5
Tik Tok Bar de Kouto,bar,None,None,11914034769,nodes,POINT (-6.3944474 9.8906532),184,4.5
Banque Africaine de Développement,bank,None,None,3528407350,nodes,POINT (-4.0221542 5.3315086),376,3.9
Maison des enseignants 48 logements,nursing_home,None,None,6036355186,nodes,POINT (-3.959342 5.2855364),194,3.8
Bureau de poste,post_office,None,None,1932547198,nodes,POINT (-4.0200996 5.3173522),50,1.4
Phamacie Fanny,pharmacy,None,None,2762278869,nodes,POINT (-3.947683 5.3102325),381,4.6
Banque Atlantique,bank,None,None,3015620983,nodes,POINT (-4.0126586 5.3066903),447,1.6
Pharmacie Notre-Dame,pharmacy,None,None,3015623533,nodes,POINT (-4.0040667 5.3038611),58,2.2
Pharmacie Rue 12,pharmacy,None,None,3015623535,nodes,POINT (-4.0120687 5.3059906),133,2.5
PN ex Socimat,products,None,None,4746711862,nodes,POINT (-4.008168 5.2958926),329,2.9
Banque d'Abidjan,bank,None,None,8254508053,nodes,POINT (-3.7370904 5.2072445),153,4.6
Coopec,bank,None,None,8252037018,nodes,POINT (-4.0695208 5.3613459),177,4.1
Église Évangélique des Assemblées de Dieu,place_of_worship,None,None,5559001384,nodes,POINT (-5.0830261 7.6910724),39,1.0
Shell,fuel,None,None,5158751422,nodes,POINT (-5.1016119 8.1404893),142,1.6
Cacao Boh,restaurant,None,None,8244902017,nodes,POINT (-4.8256722 5.886108),92,3.6
Epp etueboue A,school,None,None,6031293840,nodes,POINT (-3.2157754 5.212135),412,2.3
Ola Energy Autoroute d’Abobo,fuel,None,None,2835322099,nodes,POINT (-4.029066 5.3674107),209,3.5
Place de Marché,marketplace,None,None,6031295903,nodes,POINT (-3.2144122 5.2126829),469,2.0
El palanquee maquis bar,pub,None,None,6031285240,nodes,POINT (-3.1226067 5.1504764),118,1.1
Marché,marketplace,None,None,6031286444,nodes,POINT (-3.1224145 5.1490859),68,4.3
Epp etueboue B,school,None,None,6031294913,nodes,POINT (-3.2123439 5.2101998),129,2.1
École maternelle,school,None,None,6031294816,nodes,POINT (-3.2107877 5.2089936),122,1.1
Jay's Meat and Seafood,restaurant,None,None,11015010434,nodes,POINT (-3.9769264 5.2855503),139,1.4
Toure Food Coffee,restaurant,None,None,6475495567,nodes,POINT (-6.4389881 6.8909546),33,3.9
Corlay Autoroute du Nord,fuel,yes,None,2465633354,nodes,POINT (-4.0230248 5.3621813),96,3.8
Shell,fuel,yes,None,3994192558,nodes,POINT (-4.0400316 5.3537257),90,2.5
Ola Energy Route de Dabou,fuel,no,None,3994490472,nodes,POINT (-4.0323992 5.3591624),286,1.0
"Tribunal de Premièr Instance d'Abidjan-Plateau, Section du Tribunal du Travail",courthouse,None,None,3406257970,nodes,POINT (-4.0214041 5.3303725),11,3.0
École primaire publique Garahio 2,school,None,None,9798093286,nodes,POINT (-5.9320837 6.114659),498,4.9
Point mobile money,atm,None,None,9798117468,nodes,POINT (-5.9322278 6.1153725),74,3.2
Salle des témoins de Jehovah,place_of_worship,None,None,9407839601,nodes,POINT (-5.937182 6.1184588),125,4.3
Centre anti tuberculeux (CAT),clinic,None,None,9480626208,nodes,POINT (-5.934959 6.1230724),363,3.0
Maquis Campus 3,restaurant,None,None,4436185147,nodes,POINT (-5.0361989 7.6883085),37,3.3
Ivoire Win,fuel,None,None,7061678886,nodes,POINT (-4.1448797 5.3977813),197,1.2
Sara Petroleum,fuel,None,None,11277897472,nodes,POINT (-4.1430623 5.3968968),431,2.1
Commissariat du 1ᵉʳ arrondissement de Yamoussoukro,police,None,None,3640923469,nodes,POINT (-5.279814 6.8216674),450,3.2
cybercafé Morija,internet_cafe,None,None,11760931470,nodes,POINT (-5.2780521 6.8212141),262,1.6
Commissariat mixte de police de tabou,police,None,None,10558949790,nodes,POINT (-7.3554542 4.4188491),494,1.3
Multiplex,nightclub,None,None,11909539897,nodes,POINT (-5.2459001 6.8007413),367,2.6
Banque Atlantique,bank,None,None,4508379303,nodes,POINT (-5.2653675 6.8123576),357,4.7
Gare CTE,bus_station,None,None,7950486987,nodes,POINT (-5.2636682 6.8121383),394,1.4
Comissariat de Police,police,None,None,4256842345,nodes,POINT (-4.1985692 6.6512288),42,1.7
Minignan,place_of_worship,None,None,11907283969,nodes,POINT (-6.7056857 7.8366881),296,3.9
SMA Société des Missions Africaines,monastery,None,None,11897478768,nodes,POINT (-4.0399829 5.4434626),273,1.4
SMA Société des Missions Africaines,monastery,None,None,5390465905,nodes,POINT (-4.0360245 5.3163681),38,1.1
Western Union,bank,None,None,2493698469,nodes,POINT (-3.9551177 5.2987028),299,5.0
Western Union,money_transfer,None,None,5960264091,nodes,POINT (-3.9524522 5.2976945),460,1.5
Western Union,money_transfer,None,None,2493709889,nodes,POINT (-3.9538291 5.2987022),396,3.2
Bicici,bank,None,None,2493735488,nodes,POINT (-3.9558113 5.2939043),285,2.3
Art Luxury Bus,bus_station,None,None,11865540469,nodes,POINT (-5.2658869 6.8096226),384,3.5
Gare Léopard,bus_station,None,None,11906703009,nodes,POINT (-5.2662565 6.8098987),340,1.3
Maquis Resto Le Rosier,bar,beverages,None,3767470137,nodes,POINT (-5.05267 7.6833971),407,3.8
Alliance des Églises Évangéliques de Côte d'Ivoire,place_of_worship,None,None,5549934259,nodes,POINT (-5.051824 7.7060983),110,3.7
Mission Évangélique de la Restauration des Dames,place_of_worship,None,None,5556817799,nodes,POINT (-5.052752 7.6790332),459,3.5
Mission Évangélique Salut des Âmes,place_of_worship,None,None,5562031038,nodes,POINT (-5.0438002 7.6653475),327,4.5
Total,fuel,None,None,11904808382,nodes,POINT (-3.9631523 5.3424935),496,4.4
Dispensaire Rural de Tefrodouo,clinic,None,None,7731307818,nodes,POINT (-3.1214423 8.5595779),417,3.8
Terminal-A,bar,None,None,11904364369,nodes,POINT (-3.9698249 5.2829902),368,2.5
Alliance des Églises Missionnaires En Afrique,place_of_worship,None,None,5552255038,nodes,POINT (-5.0440503 7.6749409),493,3.9
Pharmacie de la Gare,pharmacy,None,None,5861821161,nodes,POINT (-5.9203798 6.6116807),188,2.9
Casino bar,bar,None,None,4766207130,nodes,POINT (-3.9543862 6.3227517),117,3.0
Groupe scolaire international les Adorables,school,None,None,8832680263,nodes,POINT (-3.9303022 5.3618257),67,1.4
Maquis corridor,pub,None,None,6002621285,nodes,POINT (-3.2148168 5.2114867),223,4.0
Marché,marketplace,None,None,6002643802,nodes,POINT (-3.214511 5.2126179),354,1.9
NDA,parking,None,None,2447356802,nodes,POINT (-4.0578074 5.3383622),480,4.2
Kiosque Diaby Et Frères,cafe,None,None,5970172307,nodes,POINT (-4.0541602 5.4570188),417,5.0
Bistrot,pub,None,None,5958424099,nodes,POINT (-4.0527333 5.4421377),16,3.3
Bistrot,pub,None,None,5957911071,nodes,POINT (-4.0459594 5.4324718),466,1.4
Bistrot,pub,None,None,5957911072,nodes,POINT (-4.0459393 5.4325112),102,3.7
Bistrot,pub,None,None,5957911056,nodes,POINT (-4.0446745 5.4333682),136,3.7
Bistrot,pub,None,None,5957911061,nodes,POINT (-4.0447095 5.4333243),261,2.7
Bistrot,pub,None,None,5957911068,nodes,POINT (-4.0446988 5.4306868),456,4.4
Bistrot Le Refuge,pub,None,None,5957911077,nodes,POINT (-4.0456897 5.4335806),198,3.1
Bistrot,pub,None,None,5957911496,nodes,POINT (-4.0451249 5.4370141),172,1.6
Bistrot,pub,None,None,5957911526,nodes,POINT (-4.0461284 5.4367735),194,1.3
Bistrot,pub,None,None,5958423916,nodes,POINT (-4.0512169 5.4424138),102,3.7
Bistrot,pub,None,None,5958423963,nodes,POINT (-4.0503723 5.4396872),312,2.6
Bistrot,pub,None,None,5958423983,nodes,POINT (-4.0512447 5.4411191),358,3.3
Bistrot,pub,None,None,5958424090,nodes,POINT (-4.0516048 5.4416411),34,1.1
Bistrot,pub,None,None,5960161505,nodes,POINT (-4.0588535 5.4306768),488,2.7
Epp Nord est,school,None,None,5989515469,nodes,POINT (-3.1982409 5.4699586),316,4.0
Maquis chez Allah,pub,None,None,5989589519,nodes,POINT (-3.1993031 5.4716822),371,4.4
Maquis,pub,None,None,5965706395,nodes,POINT (-3.9491584 5.3024282),158,4.8
Restaurant damier,fast_food,None,None,5982906486,nodes,POINT (-5.3572024 5.8465616),112,2.1
Église protestante,community_centre,None,None,4783617722,nodes,POINT (-4.4974359 7.0651227),150,2.7
Église Protestante Évangélique de l’Alliance Chrétienne et Missionnaire,place_of_worship,None,None,5564019078,nodes,POINT (-5.0653638 7.7234992),253,2.5
Marché de Pierre,marketplace,None,None,5564412205,nodes,POINT (-5.0795983 7.7329671),145,4.8
Mécanique Auto,motorcycle_repair,None,None,5957513922,nodes,POINT (-4.0391842 5.4373592),41,1.3
chapelle notre dame de lourdes de zinsou,place_of_worship,None,None,5975060351,nodes,POINT (-3.9811427 5.3827915),10,4.6
Bistrot,pub,None,None,5955713582,nodes,POINT (-4.0461847 5.4399649),179,2.4
Bistrot,pub,None,None,5957127801,nodes,POINT (-4.0369083 5.4372214),287,3.8
Bistrot,pub,None,None,5957127813,nodes,POINT (-4.0360436 5.4371036),475,3.7
Bistrot,pub,None,None,5957513445,nodes,POINT (-4.0453425 5.4375585),420,2.4
Bistrot,pub,None,None,5957911007,nodes,POINT (-4.0429372 5.4368088),133,4.8
Bistrot,pub,None,None,5957911008,nodes,POINT (-4.0431397 5.4368869),494,1.0
Bistrot,pub,None,None,5957911028,nodes,POINT (-4.0441506 5.4371379),402,1.5
Bistrot,pub,None,None,5958423948,nodes,POINT (-4.0501443 5.4411264),344,1.4
Bistrot,pub,None,None,5958423955,nodes,POINT (-4.0500451 5.4406078),125,3.4
Bistrot,pub,None,None,5958424150,nodes,POINT (-4.0500042 5.436431),465,4.3
Bistrot,pub,None,None,5961173833,nodes,POINT (-4.0336618 5.4338086),86,4.5
Pétro-Ivoire,fuel,None,None,4359836690,nodes,POINT (-3.9470249 5.3016992),384,4.8
Centre d'Animation et Promotion Vocationnelle IMC,place_of_worship,None,None,5636805221,nodes,POINT (-6.6640536 4.781826),152,1.1
Bistro,pub,None,None,5970062776,nodes,POINT (-4.056654 5.4411798),92,2.3
Bistro,pub,None,None,5970062783,nodes,POINT (-4.0550226 5.4418915),241,1.1
Bistrot,pub,None,None,5958424385,nodes,POINT (-4.0436024 5.4360826),336,2.2
Bistrot,pub,None,None,5959442311,nodes,POINT (-4.059456 5.4345921),72,3.8
Bistrot,pub,None,None,5960161698,nodes,POINT (-4.0637545 5.4326714),321,3.3
Bistrot,pub,None,None,5960173773,nodes,POINT (-4.0576109 5.4261856),46,1.7
Bistrot,pub,None,None,5960952216,nodes,POINT (-4.0672541 5.4301561),116,2.9
Bistrot,pub,None,None,5960952224,nodes,POINT (-4.0663818 5.4302296),56,1.5
Bistrot,pub,None,None,5960952225,nodes,POINT (-4.0663724 5.4301475),175,3.4
Bistrot,pub,None,None,5961173839,nodes,POINT (-4.034676 5.4341193),26,1.1
Bistrot,pub,None,None,5960952246,nodes,POINT (-4.0654262 5.4288271),244,2.4
Bistrot,pub,None,None,5960952262,nodes,POINT (-4.0651339 5.4281969),117,4.0
Bistrot,pub,None,None,5960952266,nodes,POINT (-4.0650534 5.4281922),442,2.5
Bistrot,pub,None,None,5960952282,nodes,POINT (-4.0598704 5.4276185),434,3.8
Bistrot,pub,None,None,5961009141,nodes,POINT (-4.037498 5.4353409),366,4.0
Bistrot,pub,None,None,5961009142,nodes,POINT (-4.0376275 5.4353156),252,1.7
Bistrot,pub,None,None,5961100637,nodes,POINT (-4.035295 5.4345853),415,4.9
Bistrot,pub,None,None,5961100666,nodes,POINT (-4.0356061 5.4350265),450,4.6
Bistrot,pub,None,None,5961173824,nodes,POINT (-4.0351166 5.4336894),138,1.1
Bistrot,pub,None,None,5961344950,nodes,POINT (-4.0372677 5.4339952),358,4.3
Bistrot,pub,None,None,5961414440,nodes,POINT (-4.0389887 5.4336824),152,3.6
